itinerary_id,cabin_class,one_way_price_candollar,flight_number,origin_airport,destination_airport,departure_date_time,arrival_date_time,stop_count,marketing_airline,operating_airline,is_self_transfer,score,duration_in_hours
18467-2504030615--32573-1-10968-2504031047,first,549,481,ORD,DFW,2025-04-03 08:05:00,2025-04-03 10:47:00,1,American Airlines,American Airlines,True,0.562752,2.7
18467-2504040745--31679-1-10968-2504041243,economy,486,6340,YYZ,ATL,2025-04-04 07:45:00,2025-04-04 10:08:00,1,Westjet,Delta Air Lines,True,0.41877,2.38
18467-2504040745--31679-1-10968-2504041243,economy,486,6482,ATL,DFW,2025-04-04 11:22:00,2025-04-04 12:43:00,1,Westjet,Delta Air Lines,True,0.41877,2.35
18467-2504040615--31679-1-10910-2504041126,economy,489,8135,YYZ,ATL,2025-04-04 06:15:00,2025-04-04 08:44:00,1,Westjet,Delta Air Lines,True,0.407997,2.48
18467-2504041815--31679-1-10968-2504042357,economy,457,6768,YYZ,ATL,2025-04-04 18:15:00,2025-04-04 20:39:00,1,Westjet,Delta Air Lines,True,0.39218,2.4
18467-2504041815--31679-1-10968-2504042357,economy,457,6499,ATL,DFW,2025-04-04 22:34:00,2025-04-04 23:57:00,1,Westjet,Delta Air Lines,True,0.39218,2.38
18467-2504040745--31679-1-10910-2504041513,economy,460,6340,YYZ,ATL,2025-04-04 07:45:00,2025-04-04 10:08:00,1,Westjet,Delta Air Lines,True,0.395028,2.38
18467-2504040615--31679-1-10910-2504041513,economy,460,8135,YYZ,ATL,2025-04-04 06:15:00,2025-04-04 08:44:00,1,Westjet,Delta Air Lines,True,0.398432,2.48
18467-2504040615--32385-1-10910-2504041126,premium_economy,581,2662,YYZ,ATL,2025-04-04 06:15:00,2025-04-04 08:44:00,1,Delta Air Lines,Delta Air Lines,True,0.496925,2.48
18467-2504041815--32385-1-10968-2504042357,premium_economy,581,2714,YYZ,ATL,2025-04-04 18:15:00,2025-04-04 20:39:00,1,Delta Air Lines,Delta Air Lines,True,0.494753,2.4
18467-2504041815--32385-1-10968-2504042357,premium_economy,581,818,ATL,DFW,2025-04-04 22:34:00,2025-04-04 23:57:00,1,Delta Air Lines,Delta Air Lines,True,0.494753,2.38
18467-2504041720--32573-0-10968-2504042000,business,527,1111,YYZ,DFW,2025-04-04 17:20:00,2025-04-04 20:00:00,0,American Airlines,American Airlines,True,0.999,3.67
18467-2504040645--32573-0-10968-2504040929,business,649,1169,YYZ,DFW,2025-04-04 06:45:00,2025-04-04 09:29:00,0,American Airlines,American Airlines,True,0.798421,3.73
18467-2504041329--32573-0-10968-2504041614,business,593,3993,YYZ,DFW,2025-04-04 13:29:00,2025-04-04 16:14:00,0,American Airlines,Envoy Air,True,0.931966,3.75
18467-2504041514--32573-1-10968-2504041916,first,1173,3608,YYZ,ORD,2025-04-04 15:14:00,2025-04-04 16:09:00,1,American Airlines,Envoy Air,True,0.488692,1.92
18467-2504041514--32573-1-10968-2504041916,first,1173,2499,ORD,DFW,2025-04-04 16:45:00,2025-04-04 19:16:00,1,American Airlines,American Airlines,True,0.488692,2.52
18467-2504040630--32573-1-10968-2504041056,first,809,3524,YYZ,ORD,2025-04-04 06:30:00,2025-04-04 07:25:00,1,American Airlines,Envoy Air,True,0.537924,1.92
18467-2504040630--32573-1-10968-2504041056,first,809,481,ORD,DFW,2025-04-04 08:15:00,2025-04-04 10:56:00,1,American Airlines,American Airlines,True,0.537924,2.68
18467-2504041315--32573-1-10968-2504041756,first,809,3606,YYZ,ORD,2025-04-04 13:15:00,2025-04-04 14:10:00,1,American Airlines,Envoy Air,True,0.506744,1.92
18467-2504041315--32573-1-10968-2504041756,first,809,2257,ORD,DFW,2025-04-04 15:18:00,2025-04-04 17:56:00,1,American Airlines,American Airlines,True,0.506744,2.63
18467-2504051220--31679-1-10968-2504051646,economy,457,7789,YYZ,ATL,2025-04-05 12:20:00,2025-04-05 14:37:00,1,Westjet,Delta Air Lines,True,0.999,2.28
18467-2504051220--31679-1-10968-2504051646,economy,457,6498,ATL,DFW,2025-04-05 15:25:00,2025-04-05 16:46:00,1,Westjet,Delta Air Lines,True,0.999,2.35
18467-2504050745--31679-1-10968-2504051243,economy,457,6340,YYZ,ATL,2025-04-05 07:45:00,2025-04-05 10:08:00,1,Westjet,Delta Air Lines,True,0.65733,2.38
18467-2504050745--31679-1-10968-2504051243,economy,457,6482,ATL,DFW,2025-04-05 11:22:00,2025-04-05 12:43:00,1,Westjet,Delta Air Lines,True,0.65733,2.35
18467-2504051815--31679-1-10968-2504052357,economy,457,6768,YYZ,ATL,2025-04-05 18:15:00,2025-04-05 20:39:00,1,Westjet,Delta Air Lines,True,0.600266,2.4
18467-2504051815--31679-1-10968-2504052357,economy,457,6499,ATL,DFW,2025-04-05 22:34:00,2025-04-05 23:57:00,1,Westjet,Delta Air Lines,True,0.600266,2.38
18467-2504050615--31679-1-10968-2504051243,economy,457,8135,YYZ,ATL,2025-04-05 06:15:00,2025-04-05 08:46:00,1,Westjet,Delta Air Lines,True,0.55059,2.52
18467-2504050615--31679-1-10968-2504051243,economy,457,6482,ATL,DFW,2025-04-05 11:22:00,2025-04-05 12:43:00,1,Westjet,Delta Air Lines,True,0.55059,2.35
18467-2504051220--32385-1-10968-2504051646,premium_economy,608,2835,YYZ,ATL,2025-04-05 12:20:00,2025-04-05 14:37:00,1,Delta Air Lines,Delta Air Lines,True,0.999,2.28
18467-2504051220--32385-1-10968-2504051646,premium_economy,608,374,ATL,DFW,2025-04-05 15:25:00,2025-04-05 16:46:00,1,Delta Air Lines,Delta Air Lines,True,0.999,2.35
18467-2504050615--32385-1-10910-2504051105,premium_economy,581,2662,YYZ,ATL,2025-04-05 06:15:00,2025-04-05 08:46:00,1,Delta Air Lines,Delta Air Lines,True,0.561613,2.52
18467-2504050745--32385-1-10968-2504051243,premium_economy,581,2988,YYZ,ATL,2025-04-05 07:45:00,2025-04-05 10:08:00,1,Delta Air Lines,Delta Air Lines,True,0.556429,2.38
18467-2504050745--32385-1-10968-2504051243,premium_economy,581,414,ATL,DFW,2025-04-05 11:22:00,2025-04-05 12:43:00,1,Delta Air Lines,Delta Air Lines,True,0.556429,2.35
18467-2504051220--32385-1-10910-2504051751,premium_economy,608,2835,YYZ,ATL,2025-04-05 12:20:00,2025-04-05 14:37:00,1,Delta Air Lines,Delta Air Lines,True,0.51274,2.28
18467-2504051815--32385-1-10968-2504052357,premium_economy,581,2714,YYZ,ATL,2025-04-05 18:15:00,2025-04-05 20:39:00,1,Delta Air Lines,Delta Air Lines,True,0.498563,2.4
18467-2504051815--32385-1-10968-2504052357,premium_economy,581,818,ATL,DFW,2025-04-05 22:34:00,2025-04-05 23:57:00,1,Delta Air Lines,Delta Air Lines,True,0.498563,2.38
18467-2504051720--32573-0-10968-2504052000,business,527,1111,YYZ,DFW,2025-04-05 17:20:00,2025-04-05 20:00:00,0,American Airlines,American Airlines,True,0.82165,3.67
18467-2504050645--32573-0-10968-2504050929,business,788,1169,YYZ,DFW,2025-04-05 06:45:00,2025-04-05 09:29:00,0,American Airlines,American Airlines,True,0.550725,3.73
18467-2504051329--32573-0-10968-2504051614,business,555,3993,YYZ,DFW,2025-04-05 13:29:00,2025-04-05 16:14:00,0,American Airlines,Envoy Air,True,0.999,3.75
18467-2504051400--31722-0-10968-2504051634,first,596,8130,YYZ,DFW,2025-04-05 14:00:00,2025-04-05 16:34:00,0,United Airlines,Air Canada,True,0.999,3.57
18467-2504051940--31722-0-10968-2504052214,first,596,8019,YYZ,DFW,2025-04-05 19:40:00,2025-04-05 22:14:00,0,United Airlines,Air Canada,True,0.745038,3.57
18467-2504050630--32573-1-10968-2504051056,first,809,3524,YYZ,ORD,2025-04-05 06:30:00,2025-04-05 07:25:00,1,American Airlines,Envoy Air,True,0.381885,1.92
18467-2504050630--32573-1-10968-2504051056,first,809,481,ORD,DFW,2025-04-05 08:15:00,2025-04-05 10:56:00,1,American Airlines,American Airlines,True,0.381885,2.68
18467-2504050615--32385-1-10910-2504051105,first,770,2662,YYZ,ATL,2025-04-05 06:15:00,2025-04-05 08:46:00,1,Delta Air Lines,Delta Air Lines,True,0.386668,2.52
18467-2504050800--31722-1-10968-2504051322,first,618,8533,YYZ,ORD,2025-04-05 08:00:00,2025-04-05 08:55:00,1,United Airlines,Jazz Aviation,True,0.377554,1.92
18467-2504050800--31722-1-10968-2504051322,first,618,307,ORD,DFW,2025-04-05 10:35:00,2025-04-05 13:22:00,1,United Airlines,United Airlines,True,0.377554,2.78
18467-2504050700--31722-1-10968-2504051322,first,618,3449,YYZ,ORD,2025-04-05 07:00:00,2025-04-05 08:03:00,1,United Airlines,Republic Airline United Express,True,0.376416,2.05
18467-2504050700--31722-1-10968-2504051322,first,618,307,ORD,DFW,2025-04-05 10:35:00,2025-04-05 13:22:00,1,United Airlines,United Airlines,True,0.376416,2.78
"18390-2504060700--31954,-31825-2-10968-2504061735",economy,329,2205,YTZ,YOW,2025-04-06 07:00:00,2025-04-06 07:59:00,2,Porter Airlines,Porter Airlines Inc,True,0.527687,0.98
"18390-2504061155--31954,-31825-2-10968-2504062254",economy,370,611,ATL,DFW,2025-04-06 21:15:00,2025-04-06 22:54:00,2,Spirit Airlines,Spirit Airlines,True,0.461967,2.65
"18390-2504060700--31954,-31825-3-10968-2504062358",economy,296,2205,YTZ,YOW,2025-04-06 07:00:00,2025-04-06 07:59:00,3,Porter Airlines,Porter Airlines Inc,True,0.440615,0.98
18467-2504060615--32385-1-10910-2504061126,premium_economy,581,2662,YYZ,ATL,2025-04-06 06:15:00,2025-04-06 08:44:00,1,Delta Air Lines,Delta Air Lines,True,0.506441,2.48
18467-2504061720--32573-0-10968-2504062000,business,527,1111,YYZ,DFW,2025-04-06 17:20:00,2025-04-06 20:00:00,0,American Airlines,American Airlines,True,0.999,3.67
18467-2504060645--32573-0-10968-2504060929,business,649,1169,YYZ,DFW,2025-04-06 06:45:00,2025-04-06 09:29:00,0,American Airlines,American Airlines,True,0.794794,3.73
18467-2504061329--32573-0-10968-2504061614,business,649,3993,YYZ,DFW,2025-04-06 13:29:00,2025-04-06 16:14:00,0,American Airlines,Envoy Air,True,0.90264,3.75
18467-2504061400--31722-0-10968-2504061634,first,827,8130,YYZ,DFW,2025-04-06 14:00:00,2025-04-06 16:34:00,0,United Airlines,Air Canada,True,0.999,3.57
18467-2504061940--31722-0-10968-2504062214,first,827,8019,YYZ,DFW,2025-04-06 19:40:00,2025-04-06 22:14:00,0,United Airlines,Air Canada,True,0.758762,3.57
18467-2504060630--32573-1-10968-2504061056,first,670,3524,YYZ,ORD,2025-04-06 06:30:00,2025-04-06 07:25:00,1,American Airlines,Envoy Air,True,0.520456,1.92
18467-2504060630--32573-1-10968-2504061056,first,670,481,ORD,DFW,2025-04-06 08:15:00,2025-04-06 10:56:00,1,American Airlines,American Airlines,True,0.520456,2.68
18467-2504060900--31722-1-10968-2504061327,first,739,1538,YYZ,ORD,2025-04-06 09:00:00,2025-04-06 10:01:00,1,United Airlines,United Airlines,True,0.508217,2.02
18467-2504060900--31722-1-10968-2504061327,first,739,307,ORD,DFW,2025-04-06 10:40:00,2025-04-06 13:27:00,1,United Airlines,United Airlines,True,0.508217,2.78
18467-2504061100--31722-1-10968-2504061602,first,618,5578,YYZ,ORD,2025-04-06 11:00:00,2025-04-06 12:03:00,1,United Airlines,SkyWest Airlines,True,0.582172,2.05
18467-2504061100--31722-1-10968-2504061602,first,618,2290,ORD,DFW,2025-04-06 13:15:00,2025-04-06 16:02:00,1,United Airlines,United Airlines,True,0.582172,2.78
18467-2504060900--31722-1-10968-2504061602,first,618,1538,YYZ,ORD,2025-04-06 09:00:00,2025-04-06 10:01:00,1,United Airlines,United Airlines,True,0.496243,2.02
18467-2504060900--31722-1-10968-2504061602,first,618,2290,ORD,DFW,2025-04-06 13:15:00,2025-04-06 16:02:00,1,United Airlines,United Airlines,True,0.496243,2.78
"18390-2504070700--31954,-31825-2-10968-2504071735",economy,267,2205,YTZ,YOW,2025-04-07 07:00:00,2025-04-07 07:59:00,2,Porter Airlines,Porter Airlines Inc,True,0.61287,0.98
"18390-2504071155--31954,-31825-2-10968-2504072254",economy,296,611,ATL,DFW,2025-04-07 21:15:00,2025-04-07 22:54:00,2,Spirit Airlines,Spirit Airlines,True,0.420574,2.65
18467-2504070615--32385-1-10910-2504071126,premium_economy,581,2662,YYZ,ATL,2025-04-07 06:15:00,2025-04-07 08:44:00,1,Delta Air Lines,Delta Air Lines,True,0.593444,2.48
18467-2504071815--32385-1-10968-2504072357,premium_economy,581,2714,YYZ,ATL,2025-04-07 18:15:00,2025-04-07 20:39:00,1,Delta Air Lines,Delta Air Lines,True,0.530694,2.4
18467-2504071815--32385-1-10968-2504072357,premium_economy,581,818,ATL,DFW,2025-04-07 22:34:00,2025-04-07 23:57:00,1,Delta Air Lines,Delta Air Lines,True,0.530694,2.38
18467-2504070745--32385-1-10910-2504071513,premium_economy,581,2988,YYZ,ATL,2025-04-07 07:45:00,2025-04-07 10:08:00,1,Delta Air Lines,Delta Air Lines,True,0.528867,2.38
18467-2504071720--32573-0-10968-2504072000,business,527,1111,YYZ,DFW,2025-04-07 17:20:00,2025-04-07 20:00:00,0,American Airlines,American Airlines,True,0.999,3.67
18467-2504070645--32573-0-10968-2504070929,business,788,1169,YYZ,DFW,2025-04-07 06:45:00,2025-04-07 09:29:00,0,American Airlines,American Airlines,True,0.657534,3.73
18467-2504071329--32573-0-10968-2504071614,business,649,3993,YYZ,DFW,2025-04-07 13:29:00,2025-04-07 16:14:00,0,American Airlines,Envoy Air,True,0.855337,3.75
18467-2504071514--32573-1-10968-2504071916,first,809,3608,YYZ,ORD,2025-04-07 15:14:00,2025-04-07 16:09:00,1,American Airlines,Envoy Air,True,0.751478,1.92
18467-2504071514--32573-1-10968-2504071916,first,809,2499,ORD,DFW,2025-04-07 16:45:00,2025-04-07 19:16:00,1,American Airlines,American Airlines,True,0.751478,2.52
18467-2504070630--32573-1-10968-2504071056,first,670,3524,YYZ,ORD,2025-04-07 06:30:00,2025-04-07 07:25:00,1,American Airlines,Envoy Air,True,0.624834,1.92
18467-2504070630--32573-1-10968-2504071056,first,670,481,ORD,DFW,2025-04-07 08:15:00,2025-04-07 10:56:00,1,American Airlines,American Airlines,True,0.624834,2.68
18467-2504071315--32573-1-10968-2504071756,first,809,3606,YYZ,ORD,2025-04-07 13:15:00,2025-04-07 14:10:00,1,American Airlines,Envoy Air,True,0.534573,1.92
18467-2504071315--32573-1-10968-2504071756,first,809,2257,ORD,DFW,2025-04-07 15:18:00,2025-04-07 17:56:00,1,American Airlines,American Airlines,True,0.534573,2.63
18467-2504081400--32695-0-10968-2504081634,economy,400,1031,YYZ,DFW,2025-04-08 14:00:00,2025-04-08 16:34:00,0,Air Canada,Air Canada,True,0.999,3.57
18467-2504081940--32695-0-10968-2504082214,economy,400,1033,YYZ,DFW,2025-04-08 19:40:00,2025-04-08 22:14:00,0,Air Canada,Air Canada,True,0.660621,3.57
18467-2504081400--31722-0-10968-2504081634,economy,398,8130,YYZ,DFW,2025-04-08 14:00:00,2025-04-08 16:34:00,0,United Airlines,Air Canada,True,0.499407,3.57
18467-2504080645--32573-0-10968-2504080929,economy,398,1169,YYZ,DFW,2025-04-08 06:45:00,2025-04-08 09:29:00,0,American Airlines,American Airlines,True,0.518993,3.73
18467-2504081329--32573-0-10968-2504081614,economy,398,3993,YYZ,DFW,2025-04-08 13:29:00,2025-04-08 16:14:00,0,American Airlines,Envoy Air,True,0.821462,3.75
18467-2504081329--32593-0-10968-2504081614,economy,405,4476,YYZ,DFW,2025-04-08 13:29:00,2025-04-08 16:14:00,0,Alaska Airlines,Envoy Air,True,0.471952,3.75
"18188-2504081235--31147,-31825-2-10968-2504082254",economy,157,611,ATL,DFW,2025-04-08 21:15:00,2025-04-08 22:54:00,2,Spirit Airlines,Spirit Airlines,True,0.611412,2.65
18467-2504080615--32385-1-10910-2504081105,premium_economy,581,2662,YYZ,ATL,2025-04-08 06:15:00,2025-04-08 08:44:00,1,Delta Air Lines,Delta Air Lines,True,0.573788,2.48
18467-2504080745--32385-1-10968-2504081243,premium_economy,581,2988,YYZ,ATL,2025-04-08 07:45:00,2025-04-08 10:08:00,1,Delta Air Lines,Delta Air Lines,True,0.562682,2.38
18467-2504080745--32385-1-10968-2504081243,premium_economy,581,414,ATL,DFW,2025-04-08 11:22:00,2025-04-08 12:43:00,1,Delta Air Lines,Delta Air Lines,True,0.562682,2.35
18467-2504081220--32385-1-10910-2504081751,premium_economy,581,2835,YYZ,ATL,2025-04-08 12:20:00,2025-04-08 14:37:00,1,Delta Air Lines,Delta Air Lines,True,0.529237,2.28
18467-2504081940--32695-0-10968-2504082214,business,831,1033,YYZ,DFW,2025-04-08 19:40:00,2025-04-08 22:14:00,0,Air Canada,Air Canada,True,0.417587,3.57
18467-2504081400--32695-0-10968-2504081634,business,1088,1031,YYZ,DFW,2025-04-08 14:00:00,2025-04-08 16:34:00,0,Air Canada,Air Canada,True,0.379567,3.57
18467-2504081720--32573-0-10968-2504082000,business,527,1111,YYZ,DFW,2025-04-08 17:20:00,2025-04-08 20:00:00,0,American Airlines,American Airlines,True,0.999,3.67
18467-2504080645--32573-0-10968-2504080929,business,649,1169,YYZ,DFW,2025-04-08 06:45:00,2025-04-08 09:29:00,0,American Airlines,American Airlines,True,0.667697,3.73
18467-2504081329--32573-0-10968-2504081614,business,788,3993,YYZ,DFW,2025-04-08 13:29:00,2025-04-08 16:14:00,0,American Airlines,Envoy Air,True,0.570526,3.75
18467-2504081100--32695-1-10968-2504081602,business,620,4408,YYZ,ORD,2025-04-08 11:00:00,2025-04-08 12:03:00,1,Air Canada,SkyWest Airlines,True,0.397982,2.05
18467-2504081100--32695-1-10968-2504081602,business,620,4854,ORD,DFW,2025-04-08 13:15:00,2025-04-08 16:02:00,1,Air Canada,United Airlines,True,0.397982,2.78
18467-2504081730--32695-1-10968-2504082250,business,853,4990,YYZ,ORD,2025-04-08 17:30:00,2025-04-08 18:30:00,1,Air Canada,United Airlines,True,0.313729,2.0
18467-2504081730--32695-1-10968-2504082250,business,853,5521,ORD,DFW,2025-04-08 19:59:00,2025-04-08 22:50:00,1,Air Canada,United Airlines,True,0.313729,2.85
18467-2504081700--32695-1-10968-2504082245,business,839,894,YYZ,YUL,2025-04-08 17:00:00,2025-04-08 18:21:00,1,Air Canada,Air Canada,True,0.318499,1.35
18467-2504081700--32695-1-10968-2504082245,business,839,8813,YUL,DFW,2025-04-08 19:30:00,2025-04-08 22:45:00,1,Air Canada,Jazz Aviation,True,0.318499,4.25
18467-2504080900--32695-1-10968-2504081602,business,620,5143,YYZ,ORD,2025-04-08 09:00:00,2025-04-08 10:01:00,1,Air Canada,United Airlines,True,0.406989,2.02
